seed,variant,model,pct_concordance
44,random_100,Komagataella_pastoris,45.4144
44,random_100,Lipomyces_starkeyi,44.4535
44,random_100,Neurospora_crassa,46.041
44,random_100,Pachysolen_tannophilus,38.8776
44,random_100,Saccharomycopsis_malanga,39.2062
44,random_100,Sporopachydermia_quercuum,40.8566
44,random_100,Tortispora_caseinolytica,39.3104
44,random_100,Torulaspora_delbrueckii,44.7701
44,random_100,Wickerhamomyces_ciferrii,44.6678
44,random_100,Yarrowia_deformans,42.1114
45,random_0,Alloascoidea_hylecoeti,60.4087
45,random_0,Debaryomyces_hansenii,57.0871
45,random_0,Hanseniaspora_vinae,57.5586
45,random_0,Komagataella_pastoris,58.9879
45,random_0,Lipomyces_starkeyi,57.4647
45,random_0,Neurospora_crassa,70.1369
45,random_0,Pachysolen_tannophilus,57.0004
45,random_0,Saccharomycopsis_malanga,57.0159
45,random_0,Sporopachydermia_quercuum,57.9456
45,random_0,Tortispora_caseinolytica,59.7422
45,random_0,Torulaspora_delbrueckii,60.0336
45,random_0,Wickerhamomyces_ciferrii,59.0685
45,random_0,Yarrowia_deformans,62.8245
45,random_25,Alloascoidea_hylecoeti,59.9914
45,random_25,Debaryomyces_hansenii,58.319
45,random_25,Hanseniaspora_vinae,53.7061
45,random_25,Komagataella_pastoris,53.3032
45,random_25,Lipomyces_starkeyi,60.051
45,random_25,Neurospora_crassa,60.0069
45,random_25,Pachysolen_tannophilus,59.3805
45,random_25,Saccharomycopsis_malanga,50.9742
45,random_25,Sporopachydermia_quercuum,60.7244
45,random_25,Tortispora_caseinolytica,52.338
45,random_25,Torulaspora_delbrueckii,58.937
45,random_25,Wickerhamomyces_ciferrii,52.4792
45,random_25,Yarrowia_deformans,55.3723
45,random_50,Alloascoidea_hylecoeti,47.6412
45,random_50,Debaryomyces_hansenii,48.1213
45,random_50,Hanseniaspora_vinae,45.4818
45,random_50,Komagataella_pastoris,47.61
45,random_50,Lipomyces_starkeyi,47.3626
45,random_50,Neurospora_crassa,53.727
45,random_50,Pachysolen_tannophilus,53.4651
45,random_50,Saccharomycopsis_malanga,52.6228
45,random_50,Sporopachydermia_quercuum,47.6544
45,random_50,Tortispora_caseinolytica,49.104
45,random_50,Torulaspora_delbrueckii,53.3358
45,random_50,Wickerhamomyces_ciferrii,52.0639
45,random_50,Yarrowia_deformans,54.0328
45,random_75,Alloascoidea_hylecoeti,47.8291
45,random_75,Debaryomyces_hansenii,48.7441
45,random_75,Hanseniaspora_vinae,41.73
45,random_75,Komagataella_pastoris,45.0974
45,random_75,Lipomyces_starkeyi,48.8095
45,random_75,Neurospora_crassa,49.6461
45,random_75,Pachysolen_tannophilus,48.6021
45,random_75,Saccharomycopsis_malanga,43.2335
45,random_75,Sporopachydermia_quercuum,49.2901
45,random_75,Tortispora_caseinolytica,50.1504
45,random_75,Torulaspora_delbrueckii,42.1458
45,random_75,Wickerhamomyces_ciferrii,44.5707
45,random_75,Yarrowia_deformans,49.3037
45,random_100,Alloascoidea_hylecoeti,41.3894
45,random_100,Debaryomyces_hansenii,41.4664
45,random_100,Hanseniaspora_vinae,40.8261
45,random_100,Komagataella_pastoris,41.6729
45,random_100,Lipomyces_starkeyi,44.441
45,random_100,Neurospora_crassa,46.0268
45,random_100,Pachysolen_tannophilus,44.8471
45,random_100,Saccharomycopsis_malanga,39.3359
45,random_100,Sporopachydermia_quercuum,41.7123
45,random_100,Tortispora_caseinolytica,41.5868
45,random_100,Torulaspora_delbrueckii,44.6068
45,random_100,Wickerhamomyces_ciferrii,41.8508
45,random_100,Yarrowia_deformans,45.396
46,random_0,Alloascoidea_hylecoeti,61.1952
46,random_0,Debaryomyces_hansenii,57.397
46,random_0,Hanseniaspora_vinae,56.7786
46,random_0,Komagataella_pastoris,60.2968
46,random_0,Lipomyces_starkeyi,68.337
46,random_0,Neurospora_crassa,70.0938
46,random_0,Pachysolen_tannophilus,57.5828
46,random_0,Saccharomycopsis_malanga,58.7419
46,random_0,Sporopachydermia_quercuum,58.5825
46,random_0,Tortispora_caseinolytica,60.7192
46,random_0,Torulaspora_delbrueckii,59.7806
46,random_0,Wickerhamomyces_ciferrii,60.8811
46,random_0,Yarrowia_deformans,62.0136
46,random_25,Alloascoidea_hylecoeti,59.9364
46,random_25,Debaryomyces_hansenii,50.4347
46,random_25,Hanseniaspora_vinae,53.6639
46,random_25,Komagataella_pastoris,59.7332
46,random_25,Lipomyces_starkeyi,59.5803
46,random_25,Neurospora_crassa,60.4798
46,random_25,Pachysolen_tannophilus,59.2384
46,random_25,Saccharomycopsis_malanga,58.4837
46,random_25,Sporopachydermia_quercuum,59.7987
46,random_25,Tortispora_caseinolytica,53.8462
46,random_25,Torulaspora_delbrueckii,53.4496
46,random_25,Wickerhamomyces_ciferrii,60.2317
46,random_25,Yarrowia_deformans,61.0926
46,random_50,Alloascoidea_hylecoeti,53.124
46,random_50,Debaryomyces_hansenii,48.3963
46,random_50,Hanseniaspora_vinae,47.5902
46,random_50,Komagataella_pastoris,48.8047
46,random_50,Lipomyces_starkeyi,47.7102
46,random_50,Neurospora_crassa,54.4657
46,random_50,Pachysolen_tannophilus,49.3108
46,random_50,Saccharomycopsis_malanga,52.0822
46,random_50,Sporopachydermia_quercuum,47.3428
46,random_50,Tortispora_caseinolytica,53.9721
46,random_50,Torulaspora_delbrueckii,53.196
46,random_50,Wickerhamomyces_ciferrii,54.0431
46,random_50,Yarrowia_deformans,49.2474
46,random_75,Alloascoidea_hylecoeti,44.9531
46,random_75,Debaryomyces_hansenii,48.512
46,random_75,Hanseniaspora_vinae,42.8823
46,random_75,Komagataella_pastoris,49.155
46,random_75,Lipomyces_starkeyi,42.3625
46,random_75,Neurospora_crassa,50.2013
46,random_75,Pachysolen_tannophilus,44.4743
46,random_75,Saccharomycopsis_malanga,47.0978
46,random_75,Sporopachydermia_quercuum,42.8767
46,random_75,Tortispora_caseinolytica,49.7791
46,random_75,Torulaspora_delbrueckii,48.8423
46,random_75,Wickerhamomyces_ciferrii,44.8602
46,random_75,Yarrowia_deformans,46.298
46,random_100,Alloascoidea_hylecoeti,40.5845
46,random_100,Debaryomyces_hansenii,40.0892
46,random_100,Hanseniaspora_vinae,41.4166
46,random_100,Komagataella_pastoris,39.5198
46,random_100,Lipomyces_starkeyi,44.4135
46,random_100,Neurospora_crassa,45.9558
46,random_100,Pachysolen_tannophilus,39.7209
46,random_100,Saccharomycopsis_malanga,39.0823
46,random_100,Sporopachydermia_quercuum,45.3464
46,random_100,Tortispora_caseinolytica,42.5658
46,random_100,Torulaspora_delbrueckii,44.5854
46,random_100,Wickerhamomyces_ciferrii,40.5733
46,random_100,Yarrowia_deformans,45.3992
47,random_0,Alloascoidea_hylecoeti,59.1321
47,random_0,Debaryomyces_hansenii,59.2509
47,random_0,Hanseniaspora_vinae,56.6157
47,random_0,Komagataella_pastoris,59.8758
47,random_0,Lipomyces_starkeyi,68.5688
47,random_0,Neurospora_crassa,70.0614
47,random_0,Pachysolen_tannophilus,57.113
47,random_0,Saccharomycopsis_malanga,67.8322
47,random_0,Sporopachydermia_quercuum,68.6885
47,random_0,Tortispora_caseinolytica,61.5422
47,random_0,Torulaspora_delbrueckii,60.6394
47,random_0,Wickerhamomyces_ciferrii,60.6711
47,random_0,Yarrowia_deformans,64.3607
47,random_25,Alloascoidea_hylecoeti,53.1624
47,random_25,Debaryomyces_hansenii,53.07
47,random_25,Hanseniaspora_vinae,49.9531
47,random_25,Komagataella_pastoris,59.7255
47,random_25,Lipomyces_starkeyi,60.462
47,random_25,Neurospora_crassa,60.8506
47,random_25,Pachysolen_tannophilus,59.8775
47,random_25,Saccharomycopsis_malanga,59.0494
47,random_25,Sporopachydermia_quercuum,60.6346
47,random_25,Tortispora_caseinolytica,60.8643
47,random_25,Torulaspora_delbrueckii,53.3754
47,random_25,Wickerhamomyces_ciferrii,59.013
47,random_25,Yarrowia_deformans,61.5077
47,random_50,Alloascoidea_hylecoeti,53.1383
47,random_50,Debaryomyces_hansenii,46.6776
47,random_50,Hanseniaspora_vinae,48.1887
47,random_50,Komagataella_pastoris,47.9232
47,random_50,Lipomyces_starkeyi,54.3478
47,random_50,Neurospora_crassa,53.8857
47,random_50,Pachysolen_tannophilus,53.4853
47,random_50,Saccharomycopsis_malanga,52.6562
47,random_50,Sporopachydermia_quercuum,53.7235
47,random_50,Tortispora_caseinolytica,54.7121
47,random_50,Torulaspora_delbrueckii,48.0611
47,random_50,Wickerhamomyces_ciferrii,52.8968
47,random_50,Yarrowia_deformans,55.057
47,random_75,Alloascoidea_hylecoeti,47.2111
47,random_75,Debaryomyces_hansenii,43.0479
47,random_75,Hanseniaspora_vinae,48.846
47,random_75,Komagataella_pastoris,44.9333
47,random_75,Lipomyces_starkeyi,49.2318
47,random_75,Neurospora_crassa,45.6175
47,random_75,Pachysolen_tannophilus,48.3109
47,random_75,Saccharomycopsis_malanga,44.2321
47,random_75,Sporopachydermia_quercuum,48.7996
47,random_75,Tortispora_caseinolytica,50.1969
47,random_75,Torulaspora_delbrueckii,48.4187
47,random_75,Wickerhamomyces_ciferrii,48.4804
47,random_75,Yarrowia_deformans,48.9773
47,random_100,Alloascoidea_hylecoeti,41.3564
47,random_100,Debaryomyces_hansenii,41.4842
47,random_100,Hanseniaspora_vinae,39.08
47,random_100,Komagataella_pastoris,41.641
47,random_100,Lipomyces_starkeyi,44.4743
47,random_100,Neurospora_crassa,45.9984
47,random_100,Pachysolen_tannophilus,45.019
47,random_100,Saccharomycopsis_malanga,43.5983
47,random_100,Sporopachydermia_quercuum,45.3778
47,random_100,Tortispora_caseinolytica,41.4137
47,random_100,Torulaspora_delbrueckii,41.3353
47,random_100,Wickerhamomyces_ciferrii,44.8023
47,random_100,Yarrowia_deformans,42.1605
48,random_0,Alloascoidea_hylecoeti,60.5865
48,random_0,Debaryomyces_hansenii,57.7016
48,random_0,Hanseniaspora_vinae,56.4106
48,random_0,Komagataella_pastoris,59.8259
48,random_0,Lipomyces_starkeyi,68.5661
48,random_0,Neurospora_crassa,70.0776
48,random_0,Pachysolen_tannophilus,57.6765
48,random_0,Saccharomycopsis_malanga,57.9185
48,random_0,Sporopachydermia_quercuum,59.194
48,random_0,Tortispora_caseinolytica,60.107
48,random_0,Torulaspora_delbrueckii,59.5455
48,random_0,Wickerhamomyces_ciferrii,68.5178
48,random_0,Yarrowia_deformans,63.2583
48,random_25,Alloascoidea_hylecoeti,51.3784
48,random_25,Debaryomyces_hansenii,59.1046
48,random_25,Hanseniaspora_vinae,52.2028
48,random_25,Komagataella_pastoris,59.1451
48,random_25,Lipomyces_starkeyi,59.785
48,random_25,Neurospora_crassa,60.3091
48,random_25,Pachysolen_tannophilus,49.6206
48,random_25,Saccharomycopsis_malanga,59.367
48,random_25,Sporopachydermia_quercuum,60.2876
48,random_25,Tortispora_caseinolytica,54.1312
48,random_25,Torulaspora_delbrueckii,59.7619
48,random_25,Wickerhamomyces_ciferrii,59.8201
48,random_25,Yarrowia_deformans,56.7964
48,random_50,Alloascoidea_hylecoeti,53.5864
48,random_50,Debaryomyces_hansenii,52.726
48,random_50,Hanseniaspora_vinae,48.143
48,random_50,Komagataella_pastoris,53.1218
48,random_50,Lipomyces_starkeyi,53.3128
48,random_50,Neurospora_crassa,54.4105
48,random_50,Pachysolen_tannophilus,52.8314
48,random_50,Saccharomycopsis_malanga,52.0329
48,random_50,Sporopachydermia_quercuum,47.9679
48,random_50,Tortispora_caseinolytica,54.9184
48,random_50,Torulaspora_delbrueckii,52.95
48,random_50,Wickerhamomyces_ciferrii,53.2598
48,random_50,Yarrowia_deformans,54.2523
48,random_75,Alloascoidea_hylecoeti,44.8438
48,random_75,Debaryomyces_hansenii,48.0312
48,random_75,Hanseniaspora_vinae,48.6791
48,random_75,Komagataella_pastoris,42.8565
48,random_75,Lipomyces_starkeyi,47.6568
48,random_75,Neurospora_crassa,49.752
48,random_75,Pachysolen_tannophilus,48.4584
48,random_75,Saccharomycopsis_malanga,47.614
48,random_75,Sporopachydermia_quercuum,48.9114
48,random_75,Tortispora_caseinolytica,49.8082
48,random_75,Torulaspora_delbrueckii,48.3265
48,random_75,Wickerhamomyces_ciferrii,49.2843
48,random_75,Yarrowia_deformans,48.7901
48,random_100,Alloascoidea_hylecoeti,44.5517
48,random_100,Debaryomyces_hansenii,39.9762
48,random_100,Hanseniaspora_vinae,41.7609
48,random_100,Komagataella_pastoris,41.5582
48,random_100,Lipomyces_starkeyi,44.3596
48,random_100,Neurospora_crassa,42.3998
48,random_100,Pachysolen_tannophilus,41.3706
48,random_100,Saccharomycopsis_malanga,40.1464
48,random_100,Sporopachydermia_quercuum,40.7931
48,random_100,Tortispora_caseinolytica,46.0241
48,random_100,Torulaspora_delbrueckii,44.6031
48,random_100,Wickerhamomyces_ciferrii,41.506
48,random_100,Yarrowia_deformans,41.3932
49,random_0,Alloascoidea_hylecoeti,68.5005
49,random_0,Debaryomyces_hansenii,56.8627
49,random_0,Hanseniaspora_vinae,56.614
49,random_0,Komagataella_pastoris,57.2927
49,random_0,Lipomyces_starkeyi,59.7348
49,random_0,Neurospora_crassa,70.1099
49,random_0,Pachysolen_tannophilus,57.0609
49,random_0,Saccharomycopsis_malanga,57.8474
49,random_0,Sporopachydermia_quercuum,60.1296
49,random_0,Tortispora_caseinolytica,60.3341
49,random_0,Torulaspora_delbrueckii,60.0826
49,random_0,Wickerhamomyces_ciferrii,68.762
49,random_0,Yarrowia_deformans,61.1001
49,random_25,Alloascoidea_hylecoeti,60.0143
49,random_25,Debaryomyces_hansenii,51.8662
49,random_25,Hanseniaspora_vinae,50.4345
49,random_25,Komagataella_pastoris,53.8376
49,random_25,Lipomyces_starkeyi,59.8878
49,random_25,Neurospora_crassa,60.8211
49,random_25,Saccharomycopsis_malanga,59.5503
49,random_25,Sporopachydermia_quercuum,59.5963
49,random_25,Tortispora_caseinolytica,53.8786
49,random_25,Torulaspora_delbrueckii,59.4207
49,random_25,Wickerhamomyces_ciferrii,51.7526
49,random_25,Yarrowia_deformans,59.4624
49,random_50,Alloascoidea_hylecoeti,48.3923
49,random_50,Debaryomyces_hansenii,52.8926
49,random_50,Hanseniaspora_vinae,53.5108
49,random_50,Komagataella_pastoris,53.1864
49,random_50,Lipomyces_starkeyi,53.7765
49,random_50,Neurospora_crassa,53.9814
49,random_50,Pachysolen_tannophilus,47.5644
49,random_50,Saccharomycopsis_malanga,53.3059
49,random_50,Sporopachydermia_quercuum,53.261
49,random_50,Tortispora_caseinolytica,50.3768
49,random_50,Torulaspora_delbrueckii,52.6896
49,random_50,Wickerhamomyces_ciferrii,52.5934
49,random_50,Yarrowia_deformans,53.9489
49,random_75,Alloascoidea_hylecoeti,48.9225
49,random_75,Debaryomyces_hansenii,43.0278
49,random_75,Hanseniaspora_vinae,48.9646
49,random_75,Komagataella_pastoris,44.8206
49,random_75,Lipomyces_starkeyi,42.4673
49,random_75,Neurospora_crassa,49.3898
49,random_75,Pachysolen_tannophilus,47.9834
49,random_75,Saccharomycopsis_malanga,43.5845
49,random_75,Sporopachydermia_quercuum,44.6815
49,random_75,Tortispora_caseinolytica,49.6107
49,random_75,Torulaspora_delbrueckii,48.2857
49,random_75,Yarrowia_deformans,48.779
49,random_100,Alloascoidea_hylecoeti,41.5116
49,random_100,Debaryomyces_hansenii,41.3058
49,random_100,Hanseniaspora_vinae,41.6152
49,random_100,Komagataella_pastoris,45.375
49,random_100,Lipomyces_starkeyi,40.9801
49,random_100,Neurospora_crassa,42.5559
49,random_100,Pachysolen_tannophilus,44.512
49,random_100,Saccharomycopsis_malanga,43.6156
49,random_100,Sporopachydermia_quercuum,40.6762
49,random_100,Tortispora_caseinolytica,46.0996
49,random_100,Torulaspora_delbrueckii,41.3238
49,random_100,Wickerhamomyces_ciferrii,40.6563
49,random_100,Yarrowia_deformans,45.5151
50,random_0,Alloascoidea_hylecoeti,59.2981
50,random_0,Debaryomyces_hansenii,59.5929
50,random_0,Hanseniaspora_vinae,56.4913
50,random_0,Komagataella_pastoris,60.2968
50,random_0,Lipomyces_starkeyi,68.4271
50,random_0,Neurospora_crassa,69.9677
50,random_0,Pachysolen_tannophilus,56.9866
50,random_0,Saccharomycopsis_malanga,57.1586
50,random_0,Sporopachydermia_quercuum,61.389
50,random_0,Tortispora_caseinolytica,59.556
50,random_0,Torulaspora_delbrueckii,58.8049
50,random_0,Wickerhamomyces_ciferrii,58.9237
50,random_0,Yarrowia_deformans,63.1416
